Hour_number,FullServiceRestaurant,Hospital,LargeHotel,LargeOffice,MediumOffice,MidriseApartment,OutPatient,PrimarySchool,QuickServiceRestaurant,SecondarySchool,SmallHotel,SmallOffice,Stand-aloneRetail,StripMall,SuperMarket,Warehouse
0,1410.1522573351801,3598.0879728734,565.80634062127,102.20698659191,4.3105038691092,0.0,5462.59945787595,0.0,1940.5204709495101,588.8028811772799,248.2057952772,0.0,0.0,0.0,0.0,7116.805717947001
1,0.0,3609.7079067252,448.6718516171501,81.47360767315999,0.0,0.0,4660.11709695675,0.0,0.0,430.29315858160004,214.5522556068,0.0,0.0,0.0,0.0,5374.329600447
2,0.0,3656.1561877232,373.00610587632,111.40429143056998,0.0,0.0,5906.6424561105,0.0,0.0,633.17623634064,246.04403519759998,0.0,0.0,0.0,0.0,7112.754120087
3,0.0,3731.5914692914002,330.30165534772004,97.54631708426999,0.0,0.0,4747.6366963389,0.0,0.0,591.40572514928,251.52432010560003,0.0,0.0,0.0,0.0,5398.271630397
4,0.0,3659.8893829474,300.13903366146,123.68915743061999,0.0,0.0,6672.501595188,0.0,0.0,738.100467874,237.57946847160002,0.0,0.0,0.0,0.0,7037.785103364
5,1370.48788539984,3622.3897803656,275.03848433039997,89.10329464776999,0.0,0.0,10541.87158518,0.0,1898.52564852406,500.66461754512,230.992605642,0.0,0.0,0.0,0.0,5007.4499419740005
6,1319.8635100619401,3238.4845228304,260.17406818354004,117.86002905951,0.0,0.0,8204.487836454,0.0,1541.36427084411,665.9136561479199,235.0622762352,0.0,36015.68101395,10184.15732684,3656.2100524668003,6840.289121148
7,1170.5910308213402,3206.9375138695996,1502.8623537249,96.95370867748998,0.0,0.0,7074.169535686499,0.0,1528.4196327515701,467.86329343423995,245.69200537920003,0.0,27101.125161179996,7850.626543039999,3513.045102271201,5386.744587735
8,1239.50000626098,3053.2048451665996,1955.5007749781003,124.59551614471998,0.0,0.0,6775.8754932765,0.0,1801.1147204776303,615.0414662948,196.9388121672,0.0,23223.76185765,6762.93775248,3228.6147621480004,7605.250507250999
9,1319.8708915527,2972.8046366422004,1931.1918992786002,84.36826193502,0.0,0.0,6612.1044810795,0.0,1619.71275507123,383.71796121631996,168.5418230268,0.0,18076.357973640002,5314.291127303999,3044.2404192336003,5481.804637125
10,1158.81238945518,2845.7723093222,1874.4924941442,82.95826860253999,0.0,0.0,6446.1595956615,0.0,1194.70390642257,301.79511996255997,152.580096168,0.0,15081.684138612,4402.029451863999,2559.7991794428,6485.880488517
11,908.18026593186,2741.3337836922,1164.84089212519,55.18217024658,0.0,0.0,6304.311293202,0.0,705.875859435713,150.894080334048,117.79911221844,0.0,11875.978786794001,3412.839667332,2247.151224024,3953.622733119
12,626.42205242778,2701.8910896675998,746.24279710582,59.01083081813999,0.0,0.0,6124.0224034665,0.0,332.50370448135203,52.243429773399995,96.64659143172,0.0,10113.010554896999,2799.35411386,1893.9215690568,4277.469361779
13,608.5377591052201,2670.987668624,821.48451117334,40.58591780158499,0.0,0.0,5895.165257046,0.0,304.29929516523504,0.0,59.910530656320006,0.0,8745.953161002,2299.760299204,1775.0508180732002,2690.542819026
