Hour_number,Date,HE,Datetime,Normalized_Space_Heat_Demand,Normalized_Water_Heat_Demand,Normalized_Elec_Demand,Normalized_Elec_Demand_0ShareElecTransp,Normalized_Elec_Demand_10ShareElecTransp,Normalized_Elec_Demand_20ShareElecTransp,Normalized_Elec_Demand_30ShareElecTransp,Normalized_Elec_Demand_40ShareElecTransp,Normalized_Elec_Demand_50ShareElecTransp,Normalized_Elec_Demand_60ShareElecTransp,Normalized_Elec_Demand_70ShareElecTransp,Normalized_Elec_Demand_80ShareElecTransp,Normalized_Elec_Demand_90ShareElecTransp,Normalized_Elec_Demand_100ShareElecTransp
0,2016-01-01,1,2016-01-01 00:00:00,0.00023258447521353292,9.098108668981206e-05,0.00010490549635017084,0.00010490549635017084,0.00010552170855489781,0.00010607247690308078,0.00010656770124003892,0.00010701538049919849,0.00010742204805636973,0.00010779309267658437,0.00010813299865786678,0.00010844552795006551,0.00010873385997257643,0.0001090007001666673
1,2016-01-01,2,2016-01-01 01:00:00,0.00021767037225344136,6.590509688169426e-05,0.00010505136614053007,0.00010505136614053007,0.0001056593980190206,0.00010620285481976216,0.00010669150496587264,0.00010713324120351931,0.00010753451017679052,0.00010790062911390712,0.0001082360227830424,0.00010854440319349387,0.00010882890755730139,0.00010909220540052045
2,2016-01-01,3,2016-01-01 02:00:00,0.00022196379637421168,5.843684845004177e-05,0.00010225535881154034,0.00010225535881154034,0.00010302018979184805,0.00010370379309024408,0.00010431845620824537,0.0001048741072713368,0.00010537885538249835,0.00010583938897537387,0.00010626127387619611,0.00010664917934624947,0.00010700705162099424,0.00010733824864316691
3,2016-01-01,4,2016-01-01 03:00:00,0.00021574325494127963,5.4720627076953885e-05,0.00010195917949641269,0.00010195917949641269,0.00010274062010792822,0.00010343906903754361,0.00010406708063118188,0.00010463479862079146,0.00010515050821258739,0.00010562104309115011,0.00010605208995428196,0.00010644841946437417,0.00010681406355623417,0.00010715245309614873
4,2016-01-01,5,2016-01-01 04:00:00,0.0002261098414034652,6.409178956157077e-05,0.00010024436548407537,0.00010024436548407537,0.00010112197118322288,0.00010190637213725719,0.00010261166764607232,0.0001032492497423287,0.00010382842322038405,0.00010435686272684052,0.00010484095477185274,0.00010528605710166732,0.00010569669782617942,0.00010607673001849791
5,2016-01-01,6,2016-01-01 05:00:00,0.0002383945850394723,8.065915083366038e-05,9.968103716997627e-05,9.968103716997627e-05,9.747058316371664e-05,9.54948869791507e-05,9.371843625125345e-05,9.211253749699704e-05,9.065375442832466e-05,8.932275666332923e-05,8.810345829125264e-05,8.698236458243797e-05,8.594807043927905e-05,8.499087100126944e-05
6,2016-01-01,7,2016-01-01 06:00:00,0.0003313096662307609,0.00014569495120810447,8.964989977776573e-05,8.964989977776573e-05,8.800198733206974e-05,8.652908885861565e-05,8.520472958428668e-05,8.40075182710575e-05,8.2919982964904e-05,8.192771270009946e-05,8.101871529202315e-05,8.018293030381917e-05,7.941185513727176e-05,7.869825473552517e-05
7,2016-01-01,8,2016-01-01 07:00:00,0.0003072502643667163,0.00020870449988507624,9.522361634878049e-05,9.522361634878049e-05,9.32631318496935e-05,9.151085755048696e-05,8.99352970070095e-05,8.851100154286175e-05,8.721718516597086e-05,8.603670347343005e-05,8.495528963199797e-05,8.396097496544935e-05,8.30436441232706e-05,8.219468972049249e-05
8,2016-01-01,9,2016-01-01 08:00:00,0.00030579086071929104,0.00024531257532013265,9.755987431899553e-05,9.755987431899553e-05,9.54683743749779e-05,9.359899892191988e-05,9.191814666829884e-05,9.039866825114387e-05,8.901838859012305e-05,8.775901755453836e-05,8.660533488585702e-05,8.554457206401844e-05,8.456593774890093e-05,8.36602493403923e-05
9,2016-01-01,10,2016-01-01 09:00:00,0.0002989520365028257,0.00024113513875851197,0.00010085659731395235,0.00010085659731395235,9.858021831071709e-05,9.65455985907039e-05,9.471616666141891e-05,9.306237327998739e-05,9.156008319007954e-05,9.018938949683434e-05,8.893372654025885e-05,8.777919712133499e-05,8.671405599467557e-05,8.572830886018498e-05
10,2016-01-01,11,2016-01-01 10:00:00,0.00029530931373329385,0.00022430773477723724,0.00010396701263899974,0.00010396701263899974,0.00010151620264476201,9.932567710521234e-05,9.735606218181995e-05,9.557554437619262e-05,9.395813903140703e-05,9.248241385661425e-05,9.113053382301895e-05,8.988753683766693e-05,8.874077765794315e-05,8.767949615536066e-05
11,2016-01-01,12,2016-01-01 11:00:00,0.00026906254750336386,0.00018643054990759647,0.00010974123190295808,0.00010974123190295808,0.0001069666057352444,0.00010448665441410171,0.00010225680178594493,0.0001002410309562237,9.840992401443979e-05,9.673921690292934e-05,9.520871811859181e-05,9.380148868421879e-05,9.250321258953643e-05,9.130170801133605e-05
12,2016-01-01,13,2016-01-01 12:00:00,0.00024195215814038745,0.0001609440343200466,0.00011377851522355063,0.00011377851522355063,0.00011077747963555867,0.00010809516435365186,0.00010568335581131766,0.00010350309813638399,0.00010152257291765129,9.971553615100623e-05,9.80601487072411e-05,9.653808938906522e-05,9.513387400015339e-05,9.383432668085244e-05
13,2016-01-01,14,2016-01-01 13:00:00,0.00023044092411908266,0.00015192626469099653,0.00011323658864087332,0.00011323658864087332,0.00011026594410391103,0.00010761079223883815,0.00010522340773091966,0.00010306522920843652,0.00010110476048061278,9.931602331254873e-05,9.767739973672261e-05,9.617075409194466e-05,9.478075898809438e-05,9.349437199553343e-05
14,2016-01-01,15,2016-01-01 14:00:00,0.0002298703115465302,0.00014358458334636073,0.00011134918284560107,0.00011134918284560107,0.000108484383357897,0.00010592383543363558,0.00010362151422686091,0.00010154023232030673,9.964961574291155e-05,9.792461187289378e-05,9.634437299807814e-05,9.489140963689284e-05,9.355094051920654e-05,9.231038792147088e-05
15,2016-01-01,16,2016-01-01 15:00:00,0.00022702162857900582,0.00014926157202548593,0.00011444684085750993,0.00011444684085750993,0.00011140832472891075,0.00010869250946878073,0.00010625057936162087,0.00010404309200749028,0.00010203783160861464,0.00010020822639420374,9.853216448174688e-05,9.699109585681377e-05,9.556934293781868e-05,9.425356530913154e-05
16,2016-01-01,17,2016-01-01 16:00:00,0.0002505975676770484,0.0001412008179204807,0.00012031997941215686,0.00012031997941215686,0.00011695209975125633,0.00011394190049930373,0.00011123527450385908,0.00010878850395961354,0.00010656588099947279,0.00010453795357427505,0.00010268021295797761,0.00010097209838550144,9.939623288535122e-05,9.793782999184204e-05
17,2016-01-01,18,2016-01-01 17:00:00,0.00027341144939590383,0.0001534436017472677,0.00012418162012960385,0.00012418162012960385,0.0001328158192812484,0.00014053303677248754,0.000147471986564844,0.00015374474755528423,0.0001594428636428827,0.0001646418407493145,0.00016940451164858348,0.00017378358776695102,0.00017782361827114817,0.00018156251107426152
18,2016-01-01,19,2016-01-01 18:00:00,0.00028069608526173033,0.00016304117412105622,0.00012155029274029705,0.00012155029274029705,0.00013033205580100307,0.00013818116540639016,0.0001452387062270699,0.0001516186726590456,0.00015741417314436352,0.00016270200404852129,0.00016754607199725904,0.0001719999892883578,0.00017610906646190508,0.00017991185930113054
19,2016-01-01,20,2016-01-01 19:00:00,0.00028154942155433324,0.00016539837260148572,0.00011957436710969586,0.00011957436710969586,0.00012274757783150157,0.000125583782655552,0.0001281339612526003,0.00013043930446748298,0.00013253345619431884,0.0001344441661057771,0.0001361945262835492,0.00013780390904694772,0.00013928868695016513,0.00014066279177704551
20,2016-01-01,21,2016-01-01 20:00:00,0.00030022707949833876,0.00015089091327843236,0.00011275505427868947,0.00011275505427868947,0.00011631068965147008,0.00011948870431262883,0.00012234622183085193,0.000124929397232633,0.0001272759290607084,0.00012941691128468043,0.00013137821896602207,0.00013318155911061445,0.00013484527743764653,0.00013638498474255071
21,2016-01-01,22,2016-01-01 21:00:00,0.00024150493975830413,0.0001238882196855198,0.0001181273289209972,0.0001181273289209972,0.00012138168903248102,0.00012429042490178863,0.00012690581991680084,0.0001292701183071469,0.00013141782435149415,0.00013337739737251562,0.0001351725199920528,0.00013682305994306286,0.00013834580847956525,0.0001397550536667403
22,2016-01-01,23,2016-01-01 22:00:00,0.0002418834268193341,0.00010999248000156181,0.0001117304550072235,0.0001117304550072235,0.00011534354954465746,0.00011857292100946492,0.00012147661608876089,0.00012410153567552666,0.0001264859875219779,0.0001286615680771143,0.0001306545705441082,0.0001324870527146483,0.0001341776567752462,0.0001357422457922145
23,2016-01-01,24,2016-01-01 23:00:00,0.00023225058124358514,9.361916662559638e-05,0.00010604762787224116,0.00010604762787224116,0.00010997941334489148,0.00011349362967097165,0.0001166534435124025,0.00011950989262858056,0.00012210466368507486,0.0001244721400775804,0.00012664093418620294,0.00012863504939751905,0.00013047477222142924,0.00013217736491692874
24,2016-01-02,1,2016-01-02 00:00:00,0.00022815557820419051,7.949856602202721e-05,0.00010149409863572424,0.00010149409863572424,0.00010230162081736736,0.00010302338136461544,0.00010367235364058716,0.00010425901993713202,0.000104791941989716,0.00010527818156579746,0.00010572361516392027,0.00010613317267337517,0.00010651102059990032,0.00010686070431929018
25,2016-01-02,2,2016-01-02 01:00:00,0.00021674762453120845,5.8901062081926084e-05,0.00010049581709279937,0.00010049581709279937,0.00010135932255019013,0.00010213112075666159,0.00010282508448265684,0.00010345242272827994,0.00010402229079039781,0.00010454224000924326,0.00010501855428472435,0.00010545650528169893,0.00010586054835820535,0.00010623447468112
26,2016-01-02,3,2016-01-02 02:00:00,0.00022353853585489728,5.59694166517022e-05,9.741918263400821e-05,9.741918263400821e-05,9.845522466337305e-05,9.938123546417214e-05,0.00010021385971782563,0.00010096654608886196,0.00010165027918920717,0.00010227411918842042,0.00010284560556915044,0.00010337106332484192,0.00010385583803628311,0.00010430447838141312
27,2016-01-02,4,2016-01-02 03:00:00,0.0002175579195260988,5.933743094694844e-05,9.858792125869753e-05,9.858792125869753e-05,9.955842083947495e-05,0.00010042585002525986,0.00010120580051588931,0.00010191087018183275,0.00010255134872270382,0.00010313572314048668,0.0001036710559524755,0.00010416327201819581,0.00010461737874445826,0.00010503763704916763
28,2016-01-02,5,2016-01-02 04:00:00,0.00023252527047660704,8.467877868350078e-05,9.541031756383818e-05,9.541031756383818e-05,9.655901496012665e-05,9.758571674023207e-05,9.850887746648635e-05,9.934340816130894e-05,0.00010010148786257772,0.00010079316190907964,0.0001014267895988379,0.00010200938368162085,0.00010254687099684143,0.00010304429482880389
29,2016-01-02,6,2016-01-02 05:00:00,0.0002446268716274294,0.00015774126205645993,9.341866630427917e-05,9.341866630427917e-05,9.155940384061902e-05,8.989760144836939e-05,8.840338888046803e-05,8.705263140450505e-05,8.582561623272365e-05,8.470608414715948e-05,8.368050492733216e-05,8.273752785332747e-05,8.1867559841637e-05,8.106243791632751e-05
30,2016-01-02,7,2016-01-02 06:00:00,0.00041745581084660135,0.00025930382613816505,7.47409221087612e-05,7.47409221087612e-05,7.39290998561324e-05,7.320349592023397e-05,7.255106785454175e-05,7.19612775488026e-05,7.142551767614625e-05,7.093668886506827e-05,7.048888332455815e-05,7.007714491357082e-05,6.969728493964591e-05,6.934573914779526e-05
31,2016-01-02,8,2016-01-02 07:00:00,0.00036884366739126947,0.00027668997760045387,8.807711784151266e-05,8.807711784151266e-05,8.651740645037108e-05,8.512334177597564e-05,8.386986605186794e-05,8.2736732961136e-05,8.170740569941983e-05,8.076824461768343e-05,7.990789938781535e-05,7.911684803672473e-05,7.838704304991766e-05,7.77116366117696e-05
32,2016-01-02,9,2016-01-02 08:00:00,0.0003408905167166725,0.0002153052574125075,0.00010073182017595335,0.00010073182017595335,9.846243863047246e-05,9.643407321412173e-05,9.46102648530657e-05,9.296155513709789e-05,9.146388300027431e-05,9.009740274038052e-05,8.884559961930689e-05,8.769461915722354e-05,8.663275221295014e-05,8.565003520829306e-05
33,2016-01-02,10,2016-01-02 09:00:00,0.0003316064473962048,0.00017920738553640854,0.00010674486788007333,0.00010674486788007333,0.00010413827674668676,0.00010180851456101277,9.971370476034634e-05,9.782001168095747e-05,9.60997989999571e-05,9.453027212313914e-05,9.309246237156443e-05,9.17704566149115e-05,9.055080583944314e-05,8.942206596929296e-05
34,2016-01-02,11,2016-01-02 10:00:00,0.0003088632110855479,0.00014837283074483417,0.00011382534033986015,0.00011382534033986015,0.0001108216788159117,0.0001081370164814829,0.00010572309758271145,0.00010354093216065012,0.00010155867396267335,9.975005602090355e-05,9.80932200966779e-05,9.65698289614761e-05,9.51643848701473e-05,9.38637004340302e-05
35,2016-01-02,12,2016-01-02 11:00:00,0.00028736772627449374,0.00012880168968104147,0.00011623512098905198,0.00011623512098905198,0.00011309631981884722,0.00011029087013361352,0.00010776834507417104,0.00010548800045952795,0.00010341655722204947,0.00010152656659999765,9.979518691679005e-05,9.820325592199363e-05,9.673457860154734e-05,9.537537424459815e-05
