Hour_number,SH_Demand_R_GW,SH_Demand_Total_GW,Temp_C_interp
8760,1.5976503882950213,3.2355282660339615,6.3
8761,1.6248015461717722,3.2949264057702567,6.1
8762,1.6520336643943814,3.3547110127641533,5.9
8763,1.6930336423767804,3.445112549363002,5.6
8764,1.6793467429628492,3.414882087015652,5.7
8765,1.6520336643943814,3.3547110127641533,5.9
8766,1.6520336643943814,3.3547110127641533,5.9
8767,1.6520336643943814,3.3547110127641533,5.9
8768,1.6520336643943814,3.3547110127641533,5.9
8769,1.6112158471901643,3.2651790274949093,6.2
8770,1.5976503882950213,3.2355282660339615,6.3
8771,1.5841051694863428,3.205974121387415,6.4
8772,1.570580190764129,3.1765165935552684,6.5
8773,1.5301266951162753,3.0887237109452315,6.8
8774,1.5166826767399202,3.059652650370687,6.9
8775,1.5301266951162753,3.0887237109452315,6.8
8776,1.5435909535790953,3.1178913883341766,6.7
8777,1.5570754521283798,3.147155682537522,6.6
8778,1.570580190764129,3.1765165935552684,6.5
8779,1.570580190764129,3.1765165935552684,6.5
8780,1.5570754521283798,3.147155682537522,6.6
8781,1.5435909535790953,3.1178913883341766,6.7
8782,1.5032588984500297,3.0306782066105424,7.0
8783,1.5032588984500297,3.0306782066105424,7.0
8784,1.4898553602466036,3.0018003796647985,7.1
8785,1.5166826767399202,3.059652650370687,6.9
8786,1.5301266951162753,3.0887237109452315,6.8
8787,1.5032588984500297,3.0306782066105424,7.0
8788,1.5166826767399202,3.059652650370687,6.9
8789,1.4898553602466036,3.0018003796647985,7.1
8790,1.4898553602466036,3.0018003796647985,7.1
8791,1.4631090040991457,2.944334576216512,7.3
8792,1.4631090040991457,2.944334576216512,7.3
8793,1.4497661861551137,2.915746599713969,7.4
8794,1.4231412705264437,2.858860497152085,7.6
8795,1.3437522857155848,2.690520993012043,8.2
8796,1.304331034477428,2.607655567936427,8.5
8797,1.2130565179479913,2.417684497930672,9.2
8798,1.0081532275044873,2.001242403195767,10.8
8799,0.9955188125867178,1.9760360151972391,10.9
8800,1.0716289033903046,2.1287235954044137,10.3
8801,1.097160854349884,2.180392389988675,10.1
8802,1.1742424693037739,2.3377175772870693,9.5
8803,1.1871602454320482,2.3642766006872034,9.4
8804,1.2390337508097928,2.471478862431743,9.0
8805,1.1871602454320482,2.3642766006872034,9.4
8806,1.122773765655322,2.2324476518305385,9.9
8807,1.084384758826862,2.1545096842893443,10.2
8808,1.109957189959371,2.2063717125024063,10.0
8809,1.2130565179479913,2.417684497930672,9.2
8810,1.3174512114703487,2.6351807594805647,8.4
8811,1.3569331829678997,2.718336034999382,8.1
8812,1.2390337508097928,2.471478862431743,9.0
8813,1.304331034477428,2.607655567936427,8.5
8814,1.4364436082975462,2.887255240025827,7.5
8815,1.4631090040991457,2.944334576216512,7.3
8816,1.6656800836353831,3.3847482414827024,5.8
8817,1.7617717407434048,3.5977141133157575,5.1
8818,1.3833556977319232,2.7742559694172617,7.9
8819,1.3174512114703487,2.6351807594805647,8.4
8820,1.3305916285497343,2.662802567839104,8.3
8821,1.4231412705264437,2.858860497152085,7.6
8822,1.4364436082975462,2.887255240025827,7.5
8823,1.4764720621296423,2.9730191695334547,7.2
8824,1.3305916285497343,2.662802567839104,8.3
8825,1.6248015461717722,3.2949264057702567,6.1
8826,1.8449253816366868,3.784024344934277,4.5
8827,1.6930336423767804,3.445112549363002,5.6
8828,1.803257480800955,3.6904344534602154,4.8
8829,1.803257480800955,3.6904344534602154,4.8
8830,1.8171265409930677,3.721534467137169,4.7
8831,1.9992661713588153,4.134626775048004,3.4
8832,2.084484301071491,4.330791921735367,2.8
8833,2.1273666070951016,4.430178822073454,2.5
8834,2.1848263763370874,4.56404732459251,2.1
8835,2.2571064898350244,4.733556831065338,1.6
8836,2.300717438971362,4.836421936721841,1.3
8837,2.2861602158394514,4.802036951355273,1.4
8838,2.329892605494577,4.905481757898178,1.1
8839,2.3152949021897373,4.870903538902809,1.2
8840,2.300717438971362,4.836421936721841,1.3
8841,2.271623232794006,4.767748582803106,1.5
8842,2.170431073896894,4.530435273741145,2.2
8843,2.1560560115431655,4.496919839704182,2.3
8844,2.055997297488074,4.265017072248645,3.0
8845,2.013418592761433,4.167079424126563,3.3
8846,2.0275912542505155,4.199628690019523,3.2
8847,2.1992419188637458,4.597755992258275,2.0
8848,2.3152949021897373,4.870903538902809,1.2
8849,2.403184723315746,5.0798221050910275,0.6
8850,2.447402875046023,5.185585715179543,0.3
8851,2.5066437718968975,5.327956497365835,-0.1
8852,2.5512869654429315,5.435749060556759,-0.4
8853,2.807705876902783,6.062998443753398,-2.1
8854,2.746845773134737,5.912898316415071,-1.7
8855,2.7316813474088875,5.875614826616491,-1.6
8856,2.8229715030609563,6.1007650176239805,-2.2
8857,2.807705876902783,6.062998443753398,-2.1
8858,2.7924604908310746,6.025328486697216,-2.0
8859,2.6712260453701346,5.727447035566174,-1.2
8860,2.656162820076608,5.690646629839595,-1.1
8861,2.899603235148791,6.2910471391929,-2.7
8862,2.7165371617695024,5.838427953632311,-1.5
8863,2.611094584714816,5.580825113546263,-0.8
8864,2.746845773134737,5.912898316415071,-1.7
8865,2.5811502949059446,5.50809385342271,-0.6
8866,2.4918031875544817,5.292218876597661,0.0
8867,2.403184723315746,5.0798221050910275,0.6
8868,2.3152949021897373,4.870903538902809,1.2
8869,2.2426099869625076,4.699461696141972,1.7
8870,2.228133724176456,4.665463178033006,1.8
8871,2.2571064898350244,4.733556831065338,1.6
8872,2.271623232794006,4.767748582803106,1.5
8873,2.300717438971362,4.836421936721841,1.3
8874,2.300717438971362,4.836421936721841,1.3
8875,2.403184723315746,5.0798221050910275,0.6
8876,2.476982843298531,5.256577872643888,0.1
8877,2.4918031875544817,5.292218876597661,0.0
8878,2.447402875046023,5.185585715179543,0.3
8879,2.4400205330369364,5.1678980613224565,0.35
8880,2.4326432510494658,5.15023456166897,0.4
8881,2.4179038671393736,5.114980024972798,0.5
8882,2.403184723315746,5.0798221050910275,0.6
8883,2.3738071559278846,5.009796115770687,0.8
8884,2.359148732363651,4.974928046332117,0.9
8885,2.2571064898350244,4.733556831065338,1.6
8886,2.300717438971362,4.836421936721841,1.3
8887,2.2861602158394514,4.802036951355273,1.4
8888,2.2571064898350244,4.733556831065338,1.6
8889,2.1992419188637458,4.597755992258275,2.0
8890,2.1417011892759015,4.463501022481617,2.4
8891,1.9710220488129737,4.070011327334086,3.6
8892,1.8449253816366868,3.784024344934277,4.5
8893,1.5032588984500297,3.0306782066105424,7.0
8894,1.6656800836353831,3.3847482414827024,5.8
8895,1.4231412705264437,2.858860497152085,7.6
8896,1.3569331829678997,2.718336034999382,8.1
8897,0.9829046377554127,1.9509262440131114,11.0
8898,0.9703107030105729,1.9259130896433845,11.1
8899,0.9955188125867178,1.9760360151972391,10.9
8900,0.9955188125867178,1.9760360151972391,10.9
8901,0.9451835537802862,1.8761766313471313,11.3
8902,0.9451835537802862,1.8761766313471313,11.3
8903,1.135610581437738,2.2586202079730704,9.8
8904,0.9829046377554127,1.9509262440131114,11.0
8905,1.3305916285497343,2.662802567839104,8.3
8906,1.3701343203066791,2.7462476938011218,8.0
8907,1.4631090040991457,2.944334576216512,7.3
8908,1.4764720621296423,2.9730191695334547,7.2
8909,1.5301266951162753,3.0887237109452315,6.8
8910,1.4631090040991457,2.944334576216512,7.3
8911,1.4631090040991457,2.944334576216512,7.3
8912,1.5166826767399202,3.059652650370687,6.9
8913,1.5301266951162753,3.0887237109452315,6.8
8914,1.4231412705264437,2.858860497152085,7.6
8915,1.4231412705264437,2.858860497152085,7.6
8916,1.2130565179479913,2.417684497930672,9.2
8917,1.0716289033903046,2.1287235954044137,10.3
8918,0.73487155928689,1.4690203513546478,13.0
8919,0.6499726699938158,1.3094835778850256,13.7
8920,0.8454845603177257,1.681095470738136,12.1
8921,1.097160854349884,2.180392389988675,10.1
8922,0.9451835537802862,1.8761766313471313,11.3
8923,1.0716289033903046,2.1287235954044137,10.3
8924,1.2130565179479913,2.417684497930672,9.2
8925,1.1742424693037739,2.3377175772870693,9.5
8926,1.3305916285497343,2.662802567839104,8.3
8927,1.3965973152436322,2.8023608618478026,7.8
8928,1.4497661861551137,2.915746599713969,7.4
8929,1.570580190764129,3.1765165935552684,6.5
8930,1.5435909535790953,3.1178913883341766,6.7
8931,1.570580190764129,3.1765165935552684,6.5
8932,1.5166826767399202,3.059652650370687,6.9
8933,1.4898553602466036,3.0018003796647985,7.1
8934,1.4098591728418055,2.8305623710927437,7.7
8935,1.3305916285497343,2.662802567839104,8.3
8936,1.3437522857155848,2.690520993012043,8.2
8937,1.084384758826862,2.1545096842893443,10.2
8938,1.0208078825087215,2.0265454080086958,10.7
8939,1.0716289033903046,2.1287235954044137,10.3
8940,0.9955188125867178,1.9760360151972391,10.9
8941,0.8827198822177009,1.753526279858506,11.8
8942,0.8207622128167316,1.633291348729891,12.3
8943,0.8702878681645778,1.7292860600039823,11.9
8944,0.8702878681645778,1.7292860600039823,11.9
8945,1.0588932880402118,2.103034123333883,10.4
8946,1.122773765655322,2.2324476518305385,9.9
8947,1.2000982616467875,2.3909322409017375,9.3
8948,1.2390337508097928,2.471478862431743,9.0
8949,1.2520527273703905,2.498520969903879,8.9
8950,1.3965973152436322,2.8023608618478026,7.8
8951,1.4497661861551137,2.915746599713969,7.4
8952,1.5166826767399202,3.059652650370687,6.9
8953,1.5032588984500297,3.0306782066105424,7.0
8954,1.5435909535790953,3.1178913883341766,6.7
8955,1.570580190764129,3.1765165935552684,6.5
8956,1.6248015461717722,3.2949264057702567,6.1
8957,1.6384074852398443,3.3247704008600047,6.0
8958,1.5976503882950213,3.2355282660339615,6.3
8959,1.5570754521283798,3.147155682537522,6.6
8960,1.570580190764129,3.1765165935552684,6.5
8961,1.4764720621296423,2.9730191695334547,7.2
8962,1.4764720621296423,2.9730191695334547,7.2
8963,1.4364436082975462,2.887255240025827,7.5
8964,1.3305916285497343,2.662802567839104,8.3
8965,1.2912310975709715,2.58022699320669,8.6
8966,1.2912310975709715,2.58022699320669,8.6
8967,1.2912310975709715,2.58022699320669,8.6
8968,1.2781514007509802,2.5528950352913524,8.7
8969,1.5570754521283798,3.147155682537522,6.6
8970,1.6248015461717722,3.2949264057702567,6.1
8971,1.803257480800955,3.6904344534602154,4.8
8972,1.7894086606953068,3.659431056597662,4.9
8973,1.6930336423767804,3.445112549363002,5.6
8974,1.831015841271645,3.7527310976285233,4.6
8975,2.0275912542505155,4.199628690019523,3.2
8976,1.9710220488129737,4.070011327334086,3.6
8977,1.9851339900426623,4.102270742783845,3.5
8978,1.9710220488129737,4.070011327334086,3.6
8979,1.942858886612991,4.00578234687777,3.8
8980,1.9288076656426965,3.973812781871213,3.9
8981,1.6384074852398443,3.3247704008600047,6.0
8982,1.570580190764129,3.1765165935552684,6.5
8983,1.5841051694863428,3.205974121387415,6.4
8984,1.5032588984500297,3.0306782066105424,7.0
8985,1.4631090040991457,2.944334576216512,7.3
8986,1.4098591728418055,2.8305623710927437,7.7
8987,1.3569331829678997,2.718336034999382,8.1
8988,1.2520527273703905,2.498520969903879,8.9
8989,1.1871602454320482,2.3642766006872034,9.4
8990,1.122773765655322,2.2324476518305385,9.9
8991,1.1484676373066187,2.2848893809300033,9.7
8992,1.109957189959371,2.2063717125024063,10.0
8993,1.097160854349884,2.180392389988675,10.1
8994,1.0716289033903046,2.1287235954044137,10.3
