Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand
0,2015-01-01,187.4096305940699,2554.606458200989,5013.943539882112,7755.959628677171
1,2015-01-01,134.62220275613655,2511.977793621912,4913.377943993349,7559.977940371397
2,2015-01-01,118.78353690455337,2521.01420267493,4737.589680460475,7377.387420039959
3,2015-01-01,110.524310184564,2507.0465544826147,4671.913469487639,7289.4843341548185
4,2015-01-01,127.12612135342377,2576.1680047462187,4661.097091419691,7364.3912175193345
5,2015-01-01,161.7802719716736,2682.9218760944946,4631.530547124034,7476.232695190201
6,2015-01-01,297.7949412303291,2962.1442716143993,4433.61971827874,7693.558931123469
7,2015-01-01,422.5770752318339,2915.1255862065113,4598.30417225101,7936.006833689355
8,2015-01-01,488.05235171202577,2923.3366579153208,4728.55930131676,8139.948310944106
9,2015-01-01,487.90537531093935,2989.644726678855,4848.285723622509,8325.835825612303
10,2015-01-01,459.9919407820614,2978.3551359640564,5003.746194261883,8442.093271008001
11,2015-01-01,380.0608184692853,2816.112015464051,5250.109425340666,8446.282259274003
12,2015-01-01,333.0583794000637,2613.325003522929,5424.103716835652,8370.487099758644
13,2015-01-01,308.4486335287361,2506.100875156538,5419.834833861713,8234.384342546988
14,2015-01-01,297.34163994564256,2465.0477982696075,5367.840836049828,8130.230274265078
15,2015-01-01,304.6651130975035,2485.942802602523,5462.234106545178,8252.842022245204
16,2015-01-01,295.486200415436,2688.7762920293817,5902.678512283745,8886.941004728562
17,2015-01-01,319.0395470824019,2836.6514211276476,6093.17124690421,9248.862215114259
18,2015-01-01,332.31967862636344,2794.3520232746796,5995.664034970133,9122.335736871177
19,2015-01-01,334.90510805538366,2808.016237764547,5760.160609194439,8903.08195501437
20,2015-01-01,305.42796015204175,2899.556835973663,5501.883177710228,8706.867973835931
21,2015-01-01,243.26442821049292,2721.1874117425527,5438.558458751828,8403.010298704874
22,2015-01-01,201.79320008230644,2572.822940302939,5190.311547993349,7964.927688378595
23,2015-01-01,182.1087510971434,2485.9237236651225,4833.454782561418,7501.487257323684
24,2015-01-02,159.53532133250758,2458.1793469285412,4516.061336276909,7133.776004537958
25,2015-01-02,120.3092410373478,2478.8477931945545,4356.681417553424,6955.8384517853265
26,2015-01-02,112.10674692679169,2497.305008201267,4264.352431184023,6873.764186312082
27,2015-01-02,120.24369865872379,2486.776601052772,4290.199649555784,6897.21994926728
28,2015-01-02,173.81779147783254,2619.2509243569048,4196.895064040449,6989.963779875186
29,2015-01-02,326.9711163947782,2790.4838651831806,4130.610032217891,7248.065013795849
30,2015-01-02,533.8368545439173,3805.4997297938207,3381.339847485274,7720.676431823012
31,2015-01-02,554.1799232374182,3620.8203864582974,4073.731078174573,8248.731387870288
32,2015-01-02,422.43990997411527,3411.885708342099,4795.711727076942,8630.037345393157
33,2015-01-02,353.4991821765286,3369.2477810227156,5118.200143520562,8840.947106719806
34,2015-01-02,288.1259779987313,3222.691830120981,5475.657715715537,8986.47552383525
35,2015-01-02,252.7391596206241,3029.999282208936,5789.651010748416,9072.389452577976
36,2015-01-02,234.44280836148778,2978.6253648748025,5836.374223781244,9049.442397017534
37,2015-01-02,224.58996135335516,2825.0014331034913,5908.602457694796,8958.193852151642
38,2015-01-02,215.90174937740528,2790.71564023406,5861.7692612179635,8868.386650829429
39,2015-01-02,236.109706206398,2768.009832901884,5964.455887411996,8968.575426520278
40,2015-01-02,267.4161618540309,2936.6347140395956,6151.503808180797,9355.554684074425
41,2015-01-02,299.49037876957664,3111.009661874035,6191.91397736062,9602.414018004232
42,2015-01-02,334.1295358544509,3129.8475086829426,5915.333244016237,9379.31028855363
43,2015-01-02,328.8055954053227,3113.033863605462,5678.215168944631,9120.054627955415
44,2015-01-02,302.2767817525653,3154.5386164932024,5440.863268538836,8897.678666784603
45,2015-01-02,243.48192251927898,2754.841353244054,5586.7341511792,8585.057426942534
46,2015-01-02,190.66507413898097,2564.0704001571326,5420.670279014102,8175.405753310215
47,2015-01-02,172.21261441994213,2453.3928342753984,5072.057912690892,7697.663361386232
48,2015-01-03,159.71145275364134,2374.79619718608,4750.254324841563,7284.761974781284
49,2015-01-03,120.2227402878921,2414.0633231429465,4546.35997919624,7080.646042627079
50,2015-01-03,112.15838247253959,2428.4233222009248,4432.608373550421,6973.1900782238845
51,2015-01-03,120.25414517802317,2484.7229148014367,4336.631080192776,6941.608140172235
52,2015-01-03,173.84201636934938,2552.2832878433446,4267.495013945252,6993.620318157946
53,2015-01-03,327.0160327112716,2751.2721173105388,4051.785693184164,7130.073843205974
54,2015-01-03,533.8706402443947,3600.056566309906,3287.331049395092,7421.258255949393
55,2015-01-03,554.1388338639149,3449.02306494638,3824.3837827647003,7827.545681574995
56,2015-01-03,422.41808273987306,3244.1953442939193,4581.080805103999,8247.694232137792
57,2015-01-03,353.56289847138413,3064.0563811234424,5113.775362727494,8531.39464232232
58,2015-01-03,288.0199657518674,3017.108507821535,5382.249726330423,8687.378199903826
59,2015-01-03,252.79244632850222,2855.047326158563,5607.05186364631,8714.891636133376
60,2015-01-03,234.2769295071353,2702.1545402400648,5757.058430050109,8693.489899797309
