Hour_number,Date,Delivered_Energy_WH,Delivered_Energy_SH,Net_Demand,Total_Demand,,
0,2018-01-01,187.4096306,2559.233235,5420.04719,8166.690055,,10222.61608
1,2018-01-01,134.6222028,2515.075684,5342.95597,7992.653857,,
2,2018-01-01,118.7835369,2524.449945,5181.564148,7824.797629,,
3,2018-01-01,110.5243102,2510.841108,5078.715377,7700.080795,,
4,2018-01-01,127.1261214,2579.715928,5030.375759,7737.217809,,
5,2018-01-01,161.780272,2684.617388,5009.074998,7855.472658,,
6,2018-01-01,297.7949412,2964.421765,4892.767217,8154.983923,,
7,2018-01-01,422.5770752,2918.877015,4998.919501,8340.373591,,
8,2018-01-01,488.0523517,2925.136816,5045.55414,8458.743307,,
9,2018-01-01,487.9053753,2993.971957,5192.115711,8673.993043,,
10,2018-01-01,459.9919408,2987.632557,5368.463957,8816.088455,,
11,2018-01-01,380.0608185,2824.071144,5542.846037,8746.977999,,
12,2018-01-01,333.0583794,2620.884432,5723.85458,8677.797392,,
13,2018-01-01,308.4486335,2513.473577,5765.866915,8587.789125,,
14,2018-01-01,297.3416399,2474.538037,5802.031166,8573.910843,,
15,2018-01-01,304.6651131,2496.682983,5899.595033,8700.943128,,
16,2018-01-01,295.4862004,2701.647368,6243.282666,9240.416234,,
17,2018-01-01,319.0395471,2850.358416,6520.236165,9689.634128,,
18,2018-01-01,332.3196786,2804.609055,6423.626015,9560.554749,,
19,2018-01-01,334.9051081,2817.743124,6273.982104,9426.630336,,
20,2018-01-01,305.4279602,2913.527845,5985.871847,9204.827652,,
21,2018-01-01,243.2644282,2735.393678,5880.593133,8859.251239,,
22,2018-01-01,201.7932001,2586.495727,5629.735474,8418.024401,,
23,2018-01-01,182.1087511,2502.03889,5372.070205,8056.217846,,
24,2018-01-02,159.5353213,2476.239712,5199.750814,7835.525847,,
25,2018-01-02,120.309241,2499.497672,5100.966749,7720.773662,,
26,2018-01-02,112.1067469,2521.357475,4998.948213,7632.412435,,
27,2018-01-02,120.2436987,2512.692966,4996.88788,7629.824545,,
28,2018-01-02,173.8177915,2646.300767,4935.731424,7755.849983,,
29,2018-01-02,326.9711164,2820.878868,4980.063905,8127.913889,,
30,2018-01-02,533.8368545,3851.462525,4322.126353,8707.425732,,
31,2018-01-02,554.1799232,3665.895136,5106.63717,9326.712229,,
32,2018-01-02,422.43991,3450.544623,5712.926164,9585.910697,,
33,2018-01-02,353.4991822,3399.423147,5917.146687,9670.069017,,
34,2018-01-02,288.125978,3250.197127,6260.745572,9799.068677,,
35,2018-01-02,252.7391596,3047.113782,6443.591152,9743.444094,,
36,2018-01-02,234.4428084,2991.57272,6442.385378,9668.400906,,
37,2018-01-02,224.5899614,2835.367652,6544.567592,9604.525205,,
38,2018-01-02,215.9017494,2798.76928,6506.902763,9521.573793,,
39,2018-01-02,236.1097062,2775.552361,6507.725015,9519.387082,,
40,2018-01-02,267.4161619,2944.463169,6761.135984,9973.015314,,
41,2018-01-02,299.4903788,3117.250954,6805.874744,10222.61608,,
42,2018-01-02,334.1295359,3135.427255,6538.388518,10007.94531,,
43,2018-01-02,328.8055954,3119.110374,6292.143845,9740.059814,,
44,2018-01-02,302.2767818,3160.449358,5995.859747,9458.585887,,
45,2018-01-02,243.4819225,2760.250004,6093.164145,9096.896072,,
46,2018-01-02,190.6650741,2570.283181,5902.435811,8663.384066,,
47,2018-01-02,172.2126144,2457.231375,5620.762228,8250.206217,,
48,2018-01-03,159.7114528,2378.39999,5352.129167,7890.24061,,
49,2018-01-03,120.2227403,2417.663387,5134.332996,7672.219123,,
50,2018-01-03,112.1583825,2431.469896,5030.961254,7574.589533,,
51,2018-01-03,120.2541452,2488.876703,4963.018875,7572.149723,,
52,2018-01-03,173.8420164,2557.846527,4972.937922,7704.626465,,
53,2018-01-03,327.0160327,2760.591783,4940.483752,8028.091568,,
54,2018-01-03,533.8706402,3611.104655,4473.004032,8617.979327,,
55,2018-01-03,554.1388339,3460.416697,5192.559473,9207.115004,,
56,2018-01-03,422.4180827,3254.075244,5811.298856,9487.792183,,
57,2018-01-03,353.5628985,3071.295141,6087.837954,9512.695994,,
58,2018-01-03,288.0199658,3023.811167,6187.570606,9499.401739,,
59,2018-01-03,252.7924463,2860.605922,6266.242173,9379.640541,,
60,2018-01-03,234.2769295,2704.479833,6294.467512,9233.224274,,
61,2018-01-03,224.8214904,2694.962176,6247.869629,9167.653295,,
62,2018-01-03,215.7976026,2667.449845,6236.404148,9119.651596,,
63,2018-01-03,236.2139842,2854.2848,6073.853317,9164.3521,,
64,2018-01-03,267.3174292,2962.885203,6413.405424,9643.608056,,
65,2018-01-03,299.4903863,3052.032019,6758.55255,10110.07495,,
66,2018-01-03,334.113043,2955.02104,6696.840267,9985.97435,,
67,2018-01-03,328.9241605,2871.646192,6583.967878,9784.53823,,
68,2018-01-03,302.2533842,2979.011644,6175.823101,9457.088128,,
69,2018-01-03,243.5984271,2619.924945,6228.251742,9091.775114,,
70,2018-01-03,190.676572,2384.918438,5994.936884,8570.531894,,
71,2018-01-03,172.2379025,2270.556227,5675.903543,8118.697673,,
72,2018-01-04,187.8003858,2224.455833,5365.401954,7777.658173,,
73,2018-01-04,134.5669681,2232.433509,5220.979008,7587.979485,,
74,2018-01-04,118.7856074,2248.13463,5162.905098,7529.825335,,
75,2018-01-04,110.5719405,2247.94265,5203.74675,7562.26134,,
76,2018-01-04,127.0973023,2332.220043,5223.594468,7682.911814,,
77,2018-01-04,162.4008243,2562.807477,5300.301164,8025.509466,,
78,2018-01-04,299.3897748,3402.306612,4869.107672,8570.804058,,
79,2018-01-04,424.8348931,3287.081702,5515.415213,9227.331808,,
80,2018-01-04,488.0919753,2999.655207,6047.144649,9534.891831,,
81,2018-01-04,488.3287075,2845.555653,6206.564183,9540.448543,,
82,2018-01-04,461.0221039,2708.7791,6309.283008,9479.084212,,
83,2018-01-04,380.9848099,2568.273081,6474.045079,9423.30297,,
84,2018-01-04,335.0535656,2440.608783,6468.748523,9244.410871,,
